epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,183.151,1.95548,3.19602,5.76114,0.00528,2.62242,0.54075,0.22601,0.18839,0.08339,0.49165,0.19246,0.15254,0.05368,1.93458,3.01863,2.85477,0.01756,0,0.00990385,0.00330128,0.00990385,0.00330128,0.00990385,0.00330128,0.00990385,0.00330128
2,335.033,1.6741,2.35089,2.09691,0.00396,0.82548,0.24454,0.27209,0.16451,0.06883,0.22416,0.22793,0.13683,0.04481,1.93274,2.77739,2.9192,0.0174,0,0.0197068,0.00656893,0.0197068,0.00656893,0.0197068,0.00656893,0.0197068,0.00656893
3,486.062,1.75109,2.38849,2.09795,0.00431,0.81436,0.64877,0.14542,0.11904,0.05145,0.63966,0.1361,0.10303,0.03478,2.2503,3.16668,3.49354,0.02764,0,0.0293118,0.00977058,0.0293118,0.00977058,0.0293118,0.00977058,0.0293118,0.00977058
4,637.078,1.84024,2.46364,2.22589,0.0048,0.83377,0.43846,0.26994,0.26248,0.11214,0.36191,0.26153,0.2163,0.07341,1.98787,2.83166,3.04712,0.01931,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,160.866,1.79309,2.38731,1.764,0.00462,0.81017,0.45739,0.16653,0.16684,0.0715,0.43112,0.16635,0.1588,0.06435,1.96459,2.85529,3.41968,0.0202,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,311.886,1.78729,2.38444,1.74559,0.00461,0.77094,0.48212,0.39089,0.32238,0.14496,0.5026,0.33844,0.29734,0.10515,1.90106,2.58275,2.58466,0.01908,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,462.96,1.7678,2.32818,1.68144,0.00444,0.74844,0.37057,0.27015,0.26164,0.11274,0.3816,0.26726,0.25399,0.0995,2.07621,2.87483,2.50018,0.021,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,613.713,1.76309,2.30184,1.66616,0.00446,0.73512,0.28779,0.21058,0.11587,0.05047,0.2811,0.19056,0.10646,0.04027,1.97975,2.75619,3.23821,0.01955,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,765.161,1.75526,2.30844,1.61903,0.00443,0.71759,0.39731,0.4301,0.33368,0.14323,0.34719,0.40636,0.3041,0.11077,1.89912,2.58676,2.51979,0.01903,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,915.876,1.71447,2.24184,1.57123,0.00433,0.70062,0.38,0.37752,0.29173,0.13613,0.3618,0.37085,0.26889,0.09878,1.8564,2.67277,2.39432,0.01731,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
