epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,182.492,1.94177,3.17677,4.95148,0.00527,2.59222,0.59074,0.2613,0.25661,0.11345,0.54116,0.22118,0.21014,0.07317,1.92084,2.83425,2.34137,0.01904,0,0.00990385,0.00330128,0.00990385,0.00330128,0.00990385,0.00330128,0.00990385,0.00330128
2,333.51,1.67257,2.35709,1.76611,0.00398,0.82611,0.51414,0.18633,0.17344,0.08327,0.50081,0.18178,0.14859,0.05782,1.87767,2.8453,2.44696,0.01764,0,0.0197068,0.00656893,0.0197068,0.00656893,0.0197068,0.00656893,0.0197068,0.00656893
3,484.637,1.74613,2.38382,1.76561,0.00431,0.82167,0.75587,0.11471,0.12281,0.05076,0.73918,0.1083,0.10816,0.03914,2.29287,3.47806,3.6462,0.02309,0,0.0293118,0.00977058,0.0293118,0.00977058,0.0293118,0.00977058,0.0293118,0.00977058
4,636.138,1.8299,2.46688,1.88038,0.00483,0.84296,0.31002,0.15711,0.1097,0.05,0.30802,0.14435,0.09942,0.03712,2.07615,2.86374,2.91402,0.02333,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,787.562,1.7943,2.4407,1.81586,0.00471,0.80236,0.35799,0.35876,0.27974,0.12333,0.32888,0.3336,0.25491,0.09251,2.01608,2.78723,2.33907,0.02117,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,938.815,1.76405,2.34225,1.74746,0.00461,0.78758,0.41189,0.30581,0.27577,0.12755,0.39453,0.3157,0.25012,0.08847,1.88357,2.66285,2.48919,0.01905,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1090.02,1.74991,2.33409,1.70161,0.00445,0.73876,0.66972,0.19305,0.24729,0.10909,0.66674,0.18502,0.22495,0.08046,1.98918,2.9218,2.42885,0.02026,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1240.75,1.72614,2.2779,1.653,0.0045,0.71154,0.5083,0.35307,0.33879,0.13859,0.48918,0.29931,0.31198,0.10217,1.91841,2.6304,2.12006,0.01977,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1392.25,1.72188,2.27937,1.6626,0.00442,0.72548,0.44392,0.32663,0.33327,0.15764,0.51353,0.34355,0.35601,0.13137,1.8792,2.66572,2.08799,0.01909,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1543.37,1.70593,2.26402,1.62213,0.00433,0.71173,0.41548,0.38297,0.35475,0.16645,0.40615,0.36264,0.32814,0.12296,1.81538,2.54596,2.11048,0.01762,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
